,state_names,district_names,crop_year,season_names,crop_names,area,temperature,wind_speed,pressure,humidity,soil_type,N,P,K,production,Yield
125191,Maharashtra,AHMEDNAGAR,2004,Autumn     ,Maize,1,20.77089433,2.068259961,1014.863796,21.94714706,loamy,56.07,0,0,1113,1113
125192,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Arhar/Tur,17600,20.16042589,1.976479932,1015.193528,20.64323694,sandy,9,9,0,6300,0.357954545
125193,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Bajra,274100,21.9982986,2.00052426,1014.184607,21.42231237,clay,0,0,0,152800,0.557460781
125194,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Gram,40800,21.77637662,2.019749785,1015.053118,21.81056724,chalky,38.25,38.25,38.25,18600,0.455882353
125195,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Jowar,900,20.07573361,1.974350686,1015.170238,21.93020582,clay,0,23.184,0,1100,1.222222222
125196,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Maize,4400,21.64235446,2.075065625,1015.702482,21.571403,sandy,5.64,14.664,14.664,4700,1.068181818
125197,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Moong(Green Gram),10200,21.19965831,2.079551928,1013.865862,20.83372485,peaty,41.7,111.2,55.6,900,0.088235294
125198,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Pulses total,451,21.36685054,2.078574323,1013.051455,20.08436093,silty,7.476,7.476,0,130,0.288248337
125199,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Ragi,2600,21.8775422,2.054199269,1014.982542,21.64336323,silty,2.1,5.25,2.1,2100,0.807692308
125200,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Rice,5900,21.62967599,2.107639236,1014.724315,20.92019574,chalky,0,0,0,7200,1.220338983
125201,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Sugarcane,45900,20.66483198,2.107465937,1013.164054,21.30536334,sandy,3.392,4.24,0,38940,0.848366013
125202,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Total foodgrain,3384,21.35974226,2.015673189,1014.108797,20.17698696,silt,2.8,0,0,1836,0.542553191
125203,Maharashtra,AHMEDNAGAR,2004,Kharif     ,Urad,1600,20.74823718,2.035531338,1013.022822,21.79448251,chalky,2.898,2.898,0,800,0.5
125204,Maharashtra,AHMEDNAGAR,2004,Rabi       ,Jowar,598400,22.04171458,1.987525865,1015.331912,20.34949169,silt,0,0,0,217000,0.36263369
125205,Maharashtra,AHMEDNAGAR,2004,Rabi       ,Maize,6200,21.96825261,1.981765981,1014.06201,20.63889417,silty,901.37,0,0,9100,1.467741935
125206,Maharashtra,AHMEDNAGAR,2004,Rabi       ,Other  Rabi pulses,60,20.88314114,2.032753812,1014.999626,20.27590988,chalky,7.704,19.688,0,3,0.05
125207,Maharashtra,AHMEDNAGAR,2004,Rabi       ,Wheat,79700,20.96546175,2.079957305,1015.586701,21.4840263,loamy,50.568,0,0,87100,1.092848181
125208,Maharashtra,AHMEDNAGAR,2004,Summer     ,Maize,1100,21.7547621,2.108655049,1014.503957,20.62497734,clay,8.22,8.22,0,1900,1.727272727
125209,Maharashtra,AHMEDNAGAR,2004,Whole Year ,Cotton(lint),98,20.93328469,2.011366642,1015.406196,20.81529873,loamy,0.465,0.465,0.465,17900,182.6530612
125210,Maharashtra,AHMEDNAGAR,2005,Kharif     ,Arhar/Tur,18800,20.69289749,2.087617874,1014.739862,21.94999812,silty,38.25,38.25,38.25,9700,0.515957447
125211,Maharashtra,AHMEDNAGAR,2005,Kharif     ,Bajra,302400,20.98883454,2.07755719,1014.940241,20.6154117,clay,0,26.832,0,243900,0.806547619
125212,Maharashtra,AHMEDNAGAR,2005,Kharif     ,Castor seed,400,20.83184456,1.995048855,1014.654889,21.51358246,silt,10.24,26.624,26.624,100,0.25
125213,Maharashtra,AHMEDNAGAR,2005,Kharif     ,Cotton(lint),12100,21.72103637,2.028014561,1013.713074,20.73272954,chalky,41.496,110.656,55.328,19900,1.644628099
125214,Maharashtra,AHMEDNAGAR,2005,Kharif     ,Groundnut,7100,20.1248972,2.07020758,1014.856644,21.39591752,loamy,7.84,7.84,0,6200,0.873239437
